Sat Jan 20 19:25:55 CST 2024

Device Version Info = 1746_0_01
BQZ Device Name = bq27z746
BQZ Firmware Version = 0_01


Sample,DateTime,ElapsedTime,Voltage,Current,LogRowTime(ms),LogStatus
183,2024-01-20 19:29:00,185.069,3869,-3132,28,SUCCESS
184,2024-01-20 19:29:01,186.068,3869,-3135,27,SUCCESS
185,2024-01-20 19:29:02,187.083,3869,-3132,29,SUCCESS
186,2024-01-20 19:29:03,188.096,3869,-3132,30,SUCCESS
187,2024-01-20 19:29:04,189.100,3869,-3132,27,SUCCESS
188,2024-01-20 19:29:05,190.101,3869,-3128,27,SUCCESS
189,2024-01-20 19:29:06,191.116,3869,-3132,27,SUCCESS
190,2024-01-20 19:29:07,192.130,3869,-3132,28,SUCCESS
191,2024-01-20 19:29:08,193.130,3869,-3128,27,SUCCESS
192,2024-01-20 19:29:09,194.143,3869,-3128,31,SUCCESS
193,2024-01-20 19:29:10,195.159,3869,-3128,31,SUCCESS
194,2024-01-20 19:29:11,196.171,3868,-3124,36,SUCCESS
195,2024-01-20 19:29:12,197.172,3868,-3132,33,SUCCESS
196,2024-01-20 19:29:13,198.186,3868,-3124,34,SUCCESS
197,2024-01-20 19:29:14,199.201,3868,-3124,34,SUCCESS
198,2024-01-20 19:29:15,200.214,3868,-3124,22,SUCCESS
199,2024-01-20 19:29:16,201.229,3868,-3124,22,SUCCESS
200,2024-01-20 19:29:17,202.242,3868,-3121,27,SUCCESS
201,2024-01-20 19:29:18,203.255,3868,-3121,28,SUCCESS
202,2024-01-20 19:29:19,204.271,3868,-3124,28,SUCCESS
203,2024-01-20 19:29:20,205.283,3868,-3117,32,SUCCESS
204,2024-01-20 19:29:21,206.292,3867,-3121,24,SUCCESS
205,2024-01-20 19:29:22,207.302,3868,-3121,28,SUCCESS
206,2024-01-20 19:29:23,208.317,3867,-3121,29,SUCCESS
207,2024-01-20 19:29:24,209.332,3867,-3117,29,SUCCESS
208,2024-01-20 19:29:25,210.345,3867,-3117,31,SUCCESS
209,2024-01-20 19:29:26,211.359,3867,-3117,32,SUCCESS
210,2024-01-20 19:29:27,212.374,3867,-3113,36,SUCCESS
211,2024-01-20 19:29:28,213.388,3867,-3121,36,SUCCESS
212,2024-01-20 19:29:29,214.402,3867,-3113,20,SUCCESS
213,2024-01-20 19:29:30,215.403,3867,-3113,35,SUCCESS
214,2024-01-20 19:29:31,216.406,3867,-3113,34,SUCCESS
215,2024-01-20 19:29:32,217.419,3867,-3113,36,SUCCESS
216,2024-01-20 19:29:33,218.435,3867,-3113,35,SUCCESS
217,2024-01-20 19:29:34,219.448,3867,-3113,22,SUCCESS
218,2024-01-20 19:29:35,220.463,3867,-3110,25,SUCCESS
219,2024-01-20 19:29:36,221.478,3866,-3113,24,SUCCESS
220,2024-01-20 19:29:37,222.489,3866,-3110,28,SUCCESS
221,2024-01-20 19:29:38,223.500,3866,-3113,34,SUCCESS
222,2024-01-20 19:29:39,224.501,3866,-3106,33,SUCCESS
223,2024-01-20 19:29:40,225.515,3866,-3110,34,SUCCESS
